title,year,genres,rating,directors,description
Матрица,1999,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi",8.7,"Lana Wachowski, Lilly Wachowski","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Meidän poikamme,1929,Drama,5.1,Erkki Karu,
Meiltähän tämä käy,1973,"Comedy, Musical",5.2,Matti Kassila,
Mellem venner,1963,"Crime, Drama",5.2,Poul Nyrup,"Kim, a member of a lively young group, is released from jail after having served time for attempted rape. To celebrate his release, Quickie and Rabbit, the group's leaders, organize a wild p... Read all"
Miénk a világ!,1963,Short,7.3,Ferenc Kardos,
"Вуаля - сказал Эмиль, Вуаля!",1960,Comedy,4.6,Ville Salminen,
Мотра 2,1997,"Kaiju, Supernatural Fantasy, Action, Fantasy, Sci-Fi",5.1,Kunio Miyoshi,"Mothra's twin nymphs and children from the city find a lost city, as well as a giant monster that is attracted to environmental calamities."
Murheenkryynin poika,1958,Comedy,4.9,Aarne Laine,
Musée Grévin,1958,Short,6.4,Jacques Demy,A man dreams he is in a wax museum after it is closed for the night.The statues come to life and behave in mysterious ways.
Мужики!..,1981,Drama,7.6,Iskra Babich,The miner decides to raise the three children of the woman he loved. A poignant Soviet drama about real men.
"Naiset, jotka minulle annoit",1962,"Drama, Romance",5.2,Aarne Tarkas,
Natalia,1979,"Comedy, Drama",5.9,Matti Kassila,"When Soviet cow Natalia jumps west, it must of course be returned to the USSR as soon as possible. Does the grass look greener behind the border? Whatever the reason for the jumping cow's tr... Read all"
Naturally Native,1998,Drama,6.3,"Jennifer Wynne Farmer, Valerie Red-Horse","Three Native American sisters (Red-Horse, Bedard, Guerrero) decide to try to sell a line of cosmetics they call Naturally Native, based on old tribal remedies, only to have to fight an uphil... Read all"
Navalha na Carne,1997,Drama,4.9,Neville de Almeida,"Vado enters the bedroom of prostitute Neusa Suely at dawn in search of money, which he discovers has disappeared. To get rid of Vado's accusations, Neusa claims that the homosexual Velvet, h... Read all"
Neljästoista vieras,1948,Comedy,4.4,T.J. Särkkä,
"Neutrón, el enmascarado negro",1960,"Superhero, Action, Drama, Mystery, Sci-Fi, Thriller",5.3,Federico Curiel,"Neutron, a masked wrestler/superhero, battles a gang of crooks who are plotting to steal a secret formula."
Отель Новая Роза,1998,"Drama, Mystery, Sci-Fi, Thriller",5.2,Abel Ferrara,"Two businessmen are hired to steal secrets from a rival, and decide to use a beautiful call girl to do so."
